therapy_week,f1,precision,recall
-5,0.0,0.0,
-4,0.02702702702702703,0.013806706114398421,0.6363636363636364
-3,0.0,0.0,
-2,0.02706766917293233,0.013740458015267175,0.9
-1,0.017062314540059347,0.008625539096193511,0.7796610169491526
0,0.020295879691893875,0.01027100606360599,0.8469387755102041
1,0.007080541155645467,0.0035573624698259435,0.7368421052631579
2,0.009262736262360747,0.004657603222557905,0.8222222222222222
3,0.013559322033898305,0.006827731092436975,0.9629629629629629
4,0.00974230043997486,0.004894994473393336,1.0
5,0.001749271137026239,0.0008771929824561404,0.3
6,0.00351213282247765,0.0017594369801663468,0.9166666666666666
7,0.005900672020980167,0.00296198782293895,0.75
8,0.007980845969672785,0.004008337341670675,0.8928571428571429
9,0.010409437890353921,0.005237430167597765,0.8333333333333334
10,0.005143867545410706,0.002580228995323335,0.8
11,0.0047481770391724605,0.002382573179033356,0.6666666666666666
12,0.003302146395156852,0.0016599040944300996,0.3103448275862069
13,0.001896633475580844,0.0009519276534983341,0.25
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,
17,0.0053226879574184965,0.0026755852842809363,0.5
18,0.0,0.0,
19,0.0,0.0,
20,0.0,0.0,
21,0.0,0.0,
22,0.0,0.0,
23,0.0,0.0,
